"FS1","EC2","PT3_R","EC4_R","FS5","PD6","FS7_R","PT8","EC9","PD10","PT11","FS12_R","PD13_R","EC14_R","PT15_R","FS16","PD17","EC18_R","PD19_R","EC20","PT21","EC22","FS23","PD24","PT25","FS26","PD27","PT28","gender","age"
4,4,4,2,4,1,1,4,5,2,4,2,4,2,4,4,3,2,4,4,3,1,4,3,2,4,4,3,"Female",18
3,4,3,3,4,3,2,2,3,3,4,2,3,3,2,4,3,4,5,4,2,4,3,3,3,4,4,2,"Female",18
3,3,2,2,3,3,2,4,4,4,3,2,3,2,2,2,3,2,3,3,3,3,3,2,3,4,2,3,"Female",19
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,"Female",19
5,3,2,4,5,2,3,5,5,3,5,2,4,4,3,3,3,3,3,3,5,3,3,2,3,3,1,3,"Male",20
5,3,2,5,5,4,4,5,5,3,5,1,2,2,5,5,3,1,4,5,4,5,5,3,2,5,2,3,"Male",19
3,5,1,1,4,3,3,5,5,4,5,3,4,2,4,2,5,1,4,3,4,4,4,2,4,4,2,4,"Male",19
3,5,3,1,1,1,2,3,4,4,4,1,2,1,2,1,3,1,4,4,3,5,4,1,3,4,1,3,"Female",20
5,4,2,2,4,3,1,3,4,5,4,1,2,1,2,4,5,2,5,5,5,3,4,2,4,5,2,3,"Female",19
3,5,1,1,4,4,4,5,5,4,5,5,5,1,2,1,1,1,5,4,5,5,2,1,5,2,2,4,"Female",18
3,2,3,3,2,2,4,3,3,4,3,5,3,3,2,2,3,3,4,3,2,2,2,2,3,2,3,3,"Female",19
4,4,4,4,4,4,4,5,5,4,4,4,2,1,5,4,4,4,4,4,4,4,3,2,3,3,3,5,"Male",19
4,3,3,3,3,3,3,3,2,4,4,4,3,2,3,3,2,2,3,4,5,2,3,3,2,2,3,2,"Female",18
4,5,1,2,2,5,1,5,4,5,5,2,3,2,4,4,5,1,2,4,4,4,5,3,5,5,2,3,"Male",19
4,4,1,1,3,4,3,4,3,4,3,2,4,2,4,3,4,3,4,3,4,5,4,2,4,4,5,3,"Male",20
5,4,1,2,5,3,1,5,5,5,4,1,5,4,2,5,4,2,5,5,5,5,5,1,2,5,1,4,"Male",20
